years,rank,logo,country,brand,sales
2016-04,59,https://i.img16888.com/carlogo75/126162.gif,中国,上汽大通MAXUS,1460
2016-04,60,https://i.img16888.com/carlogo75/126778.gif,中国,凯翼,1013
2016-04,61,https://i.img16888.com/carlogo75/126528.gif,中国,福汽启腾,596
2016-04,62,https://i.img16888.com/carlogo75/58067.gif,日本,英菲尼迪,583
2016-04,63,https://i.img16888.com/carlogo75/126759.gif,中国,华颂,507
2016-04,64,https://i.img16888.com/carlogo75/57272.gif,中国,北京,444
2016-04,65,https://i.img16888.com/carlogo75/126500.gif,中国,东风风度,431
2016-04,66,https://i.img16888.com/carlogo75/57645.gif,中国,开瑞,292
2016-04,67,https://i.img16888.com/carlogo75/57584.gif,中国,红旗,260
2016-04,68,https://i.img16888.com/carlogo75/124659.gif,中国,理念,234
2016-04,69,https://i.img16888.com/carlogo75/124944.gif,中国,江铃,208
2016-04,70,https://i.img16888.com/carlogo75/126360.gif,中国,腾势,182
2016-04,71,https://i.img16888.com/carlogo75/57970.gif,中国,威麟,154
2016-04,72,https://i.img16888.com/carlogo75/57601.gif,中国,广汽吉奥,116
2016-04,73,https://i.img16888.com/carlogo75/126283.gif,中国,北汽制造,78
2016-04,74,https://i.img16888.com/carlogo75/126663.gif,日本,五十铃,28
2016-04,75,https://i.img16888.com/carlogo75/126113.gif,中国,欧朗,10
2016-04,76,https://i.img16888.com/carlogo75/57487.gif,中国,永源,5
2016-05,1,https://i.img16888.com/carlogo75/57411.gif,德国,大众,222439
2016-05,2,https://i.img16888.com/carlogo75/58001.gif,韩国,现代,103255
2016-05,3,https://i.img16888.com/carlogo75/57354.gif,美国,别克,98327
2016-05,4,https://i.img16888.com/carlogo75/57500.gif,日本,丰田,97781
2016-05,5,https://i.img16888.com/carlogo75/57305.gif,日本,本田,97325
2016-05,6,https://i.img16888.com/carlogo75/125976.gif,中国,五菱汽车,90154
2016-05,7,https://i.img16888.com/carlogo75/57864.gif,日本,日产,82877
2016-05,8,https://i.img16888.com/carlogo75/57534.gif,美国,福特,64913
2016-05,9,https://i.img16888.com/carlogo75/126026.gif,中国,哈弗,61793
2016-05,10,https://i.img16888.com/carlogo75/57838.gif,韩国,起亚,50122
2016-05,11,https://i.img16888.com/carlogo75/57229.gif,德国,奥迪,46644
2016-05,12,https://i.img16888.com/carlogo75/57378.gif,中国,长安,46083
2016-05,13,https://i.img16888.com/carlogo75/57604.gif,中国,吉利汽车,45954
2016-05,14,https://i.img16888.com/carlogo75/57328.gif,中国,比亚迪,36849
2016-05,15,https://i.img16888.com/carlogo75/126292.gif,中国,长安欧尚,35795
2016-05,16,https://i.img16888.com/carlogo75/125808.gif,中国,宝骏,34469
2016-05,17,https://i.img16888.com/carlogo75/58024.gif,美国,雪佛兰,34113
2016-05,18,https://i.img16888.com/carlogo75/57823.gif,中国,奇瑞,33722
2016-05,19,https://i.img16888.com/carlogo75/57563.gif,中国,广汽传祺,30177
2016-05,20,https://i.img16888.com/carlogo75/57954.gif,捷克,斯柯达,26575
2016-05,21,https://i.img16888.com/carlogo75/57338.gif,法国,标致,26507
2016-05,22,https://i.img16888.com/carlogo75/57279.gif,德国,奔驰,25970
2016-05,23,https://i.img16888.com/carlogo75/57248.gif,德国,宝马,24192
2016-05,24,https://i.img16888.com/carlogo75/58044.gif,法国,雪铁龙,23625
